Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Course Evals - Referral | John (ref. Kristina Milnor),,,"Hi John, My name is Paola and I am part of the Qualtrics team that manages your institution's account. I was referred to you by Kristina Milnor, and I wanted to reach out regarding our course evaluation tool here at Qualtrics. Qualtrics Course Evaluations offers increased response rates by deploying through your LMS (Canvas, D2L, Blackboard) and/or a single email; role-based dashboards; pre-built, expert-written questions; automated surveys and reports. I'd love to set up time to discuss if it would be a good fit. Is there a time this Wednesday or Thursday that would work? Let me know, thank you! Paola",,Education (Higher Ed),Paola
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Objection Handling - Budget | Cindy - cost-saving strategies,,,"Hi Cindy, Thanks so much for the honest feedback about the budget. I completely understand! I'd still love to connect briefly, even if it's just to share how other districts are using our platform to save on costs and streamline their existing programs. Seeing some examples might spark ideas for when the budget allows for new initiatives. Would you be open to a 15-minute chat next week to explore some of these cost-saving strategies? It's just a chance to see what's possible. Thanks again, Joel",,Education (K-12),Joel
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Objection Handling - Existing System | Chrisena - insight share, not replace",,,"Hello Chrisena, I appreciate you letting me know you have a course evaluation system in place! Before I let you go, I want to assure you that my goal isn't to replace what you're currently using but I would love to steal 20 minutes of your time purely to share insights. I can share quick examples of how other universities are using specific Qualtrics features to significantly improve their reporting and data analysis, even alongside their existing systems. We can also learn about your current workflow to see if those examples are relevant. Are you available for a quick, zero-pressure chat next week? Best, Guillermo",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Objection Handling - Pre-internal-discussion brief | Jordan (Stanford, Ryan Durr",,,"Hi Jordan, Thanks for the quick reply. That sounds like a great next step! To ensure your internal discussion is as effective as possible, Ryan Durrant (AE for Stanford at Qualtrics) and I would appreciate a quick, 20-minute call to brief you. Instead of sending static PDFs, this chat will allow us to show examples and equip you with more high-level information that wasn't shared on the webinar so you can lead the discussion confidently. If this 20-minute discussion confirms a potential fit, we can then schedule the full team meeting. Are you open to this brief, time-saving call? If this week works, we can connect on Thursday! Best, Guillermo",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Objection Handling - No New Contracts | Lupita - insight/intelligence gathering,,,"Hi Lupita, Thanks for the quick reply and the transparency - I completely understand. I appreciate you letting me know that new contracts are off the table right now. Before I let you go I want to share that my goal in connecting is not to push a new contract. Instead, I would love to chat purely for insight and intelligence gathering. I work with teams across the industry and I'm simply looking to understand: What challenges are your current systems causing your team? What gaps are you seeing in the market right now? It's a high-level chat to help me understand the market. Let's have a 20 minute call during the next few days! Best, Guillermo",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Objection Handling - Small Program | Paul (intro to Rebecca), Dive In program",,,"Hi Paul, I appreciate the transparency and the intro to Rebecca. I completely understand the focus on intimacy for a program like Dive In. We actually do a lot of work with smaller, high-touch programs where the focus is more on individual student journeys rather than on high-volume data collection. If you're up for it, I'd still love to grab 15 minutes to hear more about your goals for the program. It would be helpful to have that context before I chat with the rest of the school, but if not, no worries at all. Have a great weekend, Kyle",,Education (Higher Ed),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Event Recovery | Jennifer - missed Lunch & Learn, onsite/virtual offer (replied,",,,"Hi Jennifer, I understand that you can no longer attend tomorrow's Lunch & Learn. That said, we will be in town the following day meeting with other clients onsite. Would you be open to us stopping by to walk through what was covered in the session? Alternatively, we could schedule a virtual meeting at a later date if that is more convenient. Please let me know what works best for you and your team. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Event Recovery | Natalie - missed session, onsite/virtual offer",,,"Hi Natalie, Thanks for letting me know; I completely understand how busy things can get. We will be in town the following day meeting with other clients onsite. Would you be open to us stopping by to walk through what was covered in the session? Alternatively, we could schedule a virtual meeting at a later date if that is more convenient. Please let me know what works best for you and your team.",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"MQC - Demo Request | Kimberly - EX platform demo, discovery call",,,"Hi Kimberly, My name is Guillermo and I am part of the team that manages your university's account here at Qualtrics. I was informed that you had requested a demo for our EX platform, so I wanted to reach out and see if you wanted to set up some time to meet and discuss what you're looking for. This initial call (20 min) will be discovery based so we can better understand your needs and goals. Is there a day in the next week that would work for you? After this first call, we can work to schedule a personalized demo. Any other details you can share will help so I can pass the information along to my team! Thank you, Guillermo",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC - Pricing Request | Scarlett - route to right person,,,"Hi Scarlett, Hope you are doing well! My name is Guillermo and I am part of the team that manages your university's account here at Qualtrics. I was informed that you requested pricing, so I wanted to reach out to learn more about your needs. Any details help so I can refer you to the correct person on my team! Best, Guillermo",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),"EDGE / Market Research | Nathan - University of San Francisco, qual+quant in one",,,"Hi Nathan, I hope you are well. I work on the University of San Francisco account team here at Qualtrics. As you may know, we are currently partnered with your school to help enhance quantitative research. I was curious if you are currently conducting or looking to conduct qualitative research in your current role? I'd love to share how this can also be done within the Qualtrics platform. Our AI-powered automation can not only speed up studies but also provide enhanced insights by allowing you to compare both quantitative and qualitative research on a single platform. Would you be available for a brief call in the coming weeks? Guillermo Pena Martinez",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),Renewal | Stephen - alongside AE Madison Krajeski,,,"Hi Stephen, My name is Kyle, I wanted to reach out and introduce myself. I am currently working alongside your account rep, Madison Krajeski, to discuss your upcoming Qualtrics renewal. I would love to schedule some time to chat about how your program is going, as well as learn more about your current initiatives. Please let me know what times work best this week or next to connect? Best, Kyle",,Education (Higher Ed),Kyle Dumas
15 - Source Email (categorized winner),F1 You Already Use Us (Expansion),Renewal | Mike - alongside AE Annie Zalewski,,,"Hi Mike, My name is Guillermo, I wanted to reach out and introduce myself. I am currently working alongside your account rep, Annie Zalewski, to discuss your upcoming Qualtrics renewal. I would love to schedule some time to chat about how your program is going, as well as learn more about your current initiatives. Please let me know what times work best this week or the week of March 23th to connect? Best, Guillermo",,Education (Higher Ed),Guillermo
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Onsite - 'New to Pittsburgh' | District contact - Pittsburgh Public Schools peer,,New to Pittsburgh!,"Hi [first name], I wanted to reach out specifically to you as I am a brand new resident of Pittsburgh! I recently moved to be close to my fiance's family from the very hot Dallas, TX. I am your new PA representative for Qualtrics! Since I live nearby, I wanted to see if I could come meet with you onsite in the coming weeks. We currently partner with K-12 organizations, like Pittsburgh Public Schools, to automatically collect, analyze, visualize, and act on student, employee, parent, and community data/experiences. We can discuss how others use Qualtrics, but the goal is to learn about your goals, initiatives and data analyzing/insight needs. Our most popular use cases include data dashboards (Galveston ISD's Public Dashboard) and stakeholder feedback (Killeen ISD Public Dashboard). What is your availability during the week of February 17th for an in-person meeting? Best, Madison",,Education (K-12),Madison Krajeski
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite | Kirk - Woodside Priory School, private schools peer proof",,,"Hi Kirk, I am reaching out because I am going to be near Portola Valley the week of September 8th sharing Qualtrics with a few other schools and I would love to stop by to explore how we can support Woodside Priory School. We currently partner with many other private schools similar to Woodside Priory School (including De La Salle, Louisville, Bishop Alemany, JSerra, Burkes, Head-Royce, Menlo and more). We help them with capturing feedback from faculty, parents, students; customizable dashboards; actionable insights; secure data governance; longitudinal data analysis. If you see potential, I'd love to connect. Let me know what times would work for you on September 8th or 9th. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite | Michelle - The Branson School, private schools peer proof",,,"Hi Michelle, I am reaching out because I am going to be near Ross the week of September 8th sharing Qualtrics with a few other schools and I would love to stop by to explore how we can support The Branson School. We currently partner with many other private schools similar to The Branson School (including Lick-Wilmerding, Head-Royce, Menlo, La Jolla CD, Stevenson School, The Bay School, Harvard-Westlake, Burkes, De La Salle, and more). We help them with capturing feedback from faculty, parents, students; customizable dashboards; actionable insights; secure data governance; longitudinal data analysis. If you see potential, I'd love to connect. Let me know what times would work for you on September 8th or 9th. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Onsite - Alumni | Thomas - Reading Public Schools (2019 RMHS grad),,,"Hi Thomas, My name is Kyle Dumas, a 2019 RMHS grad and former Track & Field captain. The lasting impact of Reading educators like Coach Fiore directly inspired my work at Qualtrics, where I help schools better support their teachers, students, and staff. I'll be back in Reading the week of September 22nd and would love to find 20 minutes to connect. We currently partner with many other school districts similar to Reading Public Schools (Boston Public Schools, Lynn Public Schools, Groton Dunstable Regional SD, Lincoln Public Schools, Brookline Public Schools, Match Charter Public School and others). Main initiatives we are working on: Teacher Walk-Throughs; Professional Development; Staff Engagement/Retention Surveys and Dashboards; Student Voice Surveys and Dashboards; Community Stakeholder Surveys and Dashboards; Student Standardized Data Visualization & Analysis. If you see potential, I'd love to connect on the week of September 22nd. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite | Sam - Miller School of Albemarle, private schools",,,"Hi Sam, I am reaching out because I am going to be in the area the week of December 9th sharing Qualtrics with a few other schools and I would love to stop by to explore how we can support Miller School Of Albemarle. We currently partner with many other private schools similar to Miller School Of Albemarle. We help them with capturing feedback from faculty, parents, students; customizable dashboards; actionable insights; secure data governance; longitudinal data analysis. If you see potential, I'd love to connect. Let me know what times would work for you on December 9th or 10th. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite Persistence | Lara - Bay Area schools, virtual fallback",,,"Hey Lara, I'm not sure if you saw my first email, and I know that it is a busy time of year, but let me know if you can meet on November 4th through the 6th. As one of the schools we work with in the Bay area mentioned, Qualtrics helps schools become more data-informed in terms of where we put our time, energy, and money, fueling continuous improvement in the competitive Bay Area market. If it would be easier, we could set up a virtual meeting sometime later on the week of the 4th or December instead! Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite | Steve - Vail Mountain School, private schools peer proof",,,"Hi Steve, I am reaching out because I am going to be near Colorado on October 29 sharing Qualtrics with a few other schools and I would love to stop by to explore how we can support Vail Mountain School. We currently partner with many other private schools similar to Vail Mountain School (including Graland Country Day, Meadows, Exeter, Andover, Horace Mann, Noble & Greenough, Harvard Westlake, Overlake, La Jolla, Head-Royce, and more). We help them with capturing feedback from faculty, parents, students; customizable dashboards; actionable insights; secure data governance; longitudinal data analysis. If you see potential, I'd love to connect. Let me know what times would work for you on October 29. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite - K12 Enterprise | Melissa - Douglas County/Cherry Creek/Aurora, retentio",,,"Melissa, I'll be in town on March 3rd and the morning of the 4th, and I'd love to connect briefly to discuss how Qualtrics is helping school districts transform their approach to Experience Management. While many districts use basic tools for data collection, Qualtrics focuses on closing the experience gap by connecting student sentiment, teacher engagement, and community feedback into a single, actionable dashboard. I'd like to share how we're specifically helping districts like Douglas County, Cherry Creek, Aurora, Academy 20, Boulder and more: Boost staff Retention (identify burnout indicators before resignations); Retain Students (listen to the entire student experience journey); Improve district customer service (always-on listening to stakeholders). Collecting Stakeholder Experience data matters in education. Do you have 30 minutes available on either day for a quick introductory awareness conversation at your office?",,Education (K-12),Ryan Mortensen
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite - Short Notice | Tara - Kinkaid School & Strake Jesuit, virtual fallback",,,"Hi Tara, I know this is short notice, but I will be in your area next week meeting with other private and independent K-12 schools and would love to connect if you have some availability. Are you available to meet during any of the following times? February 17 after 10:00 AM; February 19 all day; February 20 before 2:00 PM. We have been helping Kinkaid School and Strake Jesuit with capturing feedback from faculty, parents, and students; customizable dashboards; actionable insights; secure data governance; longitudinal data analysis. If you see potential, I'd love to connect next week. If not, we can always schedule a virtual meeting. Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite | Margaret - York University (Canada), York U Forward Action Plan (Rekha ",,,"Hey Margaret, I am reaching out because your account manager at Qualtrics, Rekha Natarajan, is going to be visiting a few universities in the Toronto area on April 15th and 16th and we would love to stop by York to explore how we can support your team. I noticed York recently launched the York U Forward Action Plan and is working through major institutional priorities around enrollment recovery, program sustainability, and administrative efficiency. Some initiatives we are helping other Canadian universities with: Staff Engagement and Retention Surveys and Dashboards; Employee Lifecycle Feedback (Onboarding, Exit, Pulse); Student Satisfaction and Retention Surveys; Institutional Data Visualization; Course Evaluation Modernization; AI Powered Insights. If you see potential, we'd love to connect. Let us know what times would work for you on April 15th or 16th! Best, Lucas",,Education (Higher Ed),Lucas
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Lunch & Learn (template) | District contact - Mariemont City Schools event,,,"Hey [first name], I would like to extend a personal invitation to a Lunch and Learn on October 10th from 11am to 1pm at Mariemont City Schools. Join us for an informational lunch with opportunities to network with your peers and present questions to districts facing similar challenges in your area. Organizations in your area like Mariemont, Madeira, Deer Park, Cincinnati Public Schools, and Hamilton County ESC have chosen Qualtrics to enhance their stakeholder experience and data storytelling. The event will feature presentations from Brent Wise (Assistant Superintendent at Mariemont), Jenny Mauch (Executive Director of HR at Hamilton County ESC), and Robbie Brown (Assistant Vice President at Qualtrics K-12). Would you like to be added to the Google calendar invite? Please let me know either way if you and anyone else from your district would like to join us on October 10th. Thanks!",,Education (K-12),Unknown
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),Webinar Invite (template) | District contact - talent recruitment/retention (Nic,,,"Hi [first name], Happy Tuesday! We have an upcoming webinar on August 22nd at 10 am CT that I thought you and your team might be interested in attending. Presenter: Nick Kohn, a long time K-12 Educator and now an Education advisor for Isobar Public Sector (Qualtrics Implementation Partner). Description: School districts nationwide are in a perpetual quest to attract and retain top-tier talent. This discussion aims to recalibrate our approach by emphasizing proactive measures over reactive responses, harnessing employee experience data, crafting actionable plans, and orchestrating communication strategies. Learning outcomes include mastery in data collection focused on the candidate/employee journey; dissemination of data to principals and leaders; strategic approaches to attract and retain talent; and intentional communication strategies. Would you like me to send you over the invite? Best,",,Education (K-12),Baylor Rich
15 - Source Email (categorized winner),F2 Reconnect / New POC,Webinar Follow-up | Patricia - CTE Webinar recording (KCKPS),,,"Hi Patricia, I wanted to make sure you had the CTE Webinar Recording with KCKPS on hand. I have provided the Recording and Passcode below. Open to a brief chat next week to discuss? Best, Kyle",,Education (K-12),Kyle Dumas
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Webinar Follow-up | Chris - Market Research session (Mar 26), 12 weeks to days (",,,"Hey Chris, Hope you are doing well! I know it's been a couple of weeks since our webinar but I wanted to send over the recording from our Market Research virtual session on March 26th. Two takeaways most relevant to your team's research operations: Cutting the Research Lifecycle from 12 Weeks to Days - the session walked through how Qualtrics consolidates survey design, advanced methodology like Conjoint and MaxDiff, recruitment, and analysis into one unified hub, compressing the research lifecycle dramatically. Accessing Hard to Reach Audiences Without Third Party Recruiters - Qualtrics' built-in audience network and AI powered survey design let researchers source validated respondents directly, launching studies faster and at lower cost. Would it make sense to set up 20 minutes with Bryan and Rekha from our Strategy & Research team? They work directly with universities across Canada. Best, Lucas",,Education (Higher Ed),Lucas
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"X4 Invite (template) | Customer - X4 Summit SLC, PubSec discount codes",,,"Dear [first name], I want to thank you for being such a great customer and for your partnership this year. As we look ahead, I wanted to see if you are able to join us for our X4 conference in SLC May 1-3. K-12 folks love this conference as you will get exposure to ways high profile companies are creating breakthrough experiences which you can apply to your K-12 organization. We will have dedicated K-12 speakers/sessions too. Discount codes: 2024 ticket pricing for Education clients is $499 (orig. $1,899) using promo code X4PUBSEC499 at checkout. To add Basecamp Live ($699) hands-on training, use X4PUBSECBC for a total of $1,198. Attached is a letter to the boss to share with your administration if needed. Happy Holidays!",,Education (K-12),Katie Blandford
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Referral - County Manager | Jason (ref. David Ellis, County Manager)",,,"Hey Jason, I'm reaching out at the suggestion of David Ellis, the County Manager. He recommended that I connect with you regarding our platform, as he believes it would be of interest to the county. Would you be available for a brief meeting the week of the 25 to discuss how our platform could be a valuable asset for your strategic goals? Thank you!",,Government (SLG),Ximena
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),LinkedIn - Strategic Vision | Wake County leader - employee/citizen/service metr,,,"I'm Ximena with Qualtrics SLG. I'm reaching out in your efforts to lead Wake County's growth and strategic vision. Our platform enables you to measure and improve key metrics across employee satisfaction, citizen engagement, and service delivery. Is there any interest in learning more?",,Government (SLG),Ximena
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),Onsite | Chief Satterwhite - City of Houston/Harris County/State of Texas,,,"Hey Chief Satterwhite, My name is Ximena and I work for Qualtrics. Agencies in the State of Texas, Harris County, and other departments in the City of Houston currently partner with us for different tools to improve resident, customer, and employee experiences. My account executive Nate will be in town next week meeting with a few of our current clients. Are you available for him to stop by for 20 minutes and introduce himself? Thanks, Ximena",,Government (SLG),Ximena
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Referral - Police EX | Chief Davis - Austin PD, Citywide Retention Audit, burnou",,,"Hi Chief Davis, The demands on the Austin Police Department are immense; your officers' well-being and retention are critical for public safety. I noted the Citywide Retention Audit Highlights report from August 2024, which highlighted city-wide retention challenges. For APD, understanding and addressing specific drivers of burnout and turnover among officers is paramount for operational effectiveness. Qualtrics helps police departments gain continuous, actionable insights into their officers' experiences, allowing you to proactively identify pain points and ensure your team feels supported. Would you be open to a brief 15-minute chat this week or next to discuss how a dedicated EX program could support APD's goals for officer well-being and retention? Best, Ximena",,Government (SLG),Ximena
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"LinkedIn - Econ Dev | Wayne - Riverside/Corona/Ontario, Beaumont, Chandler in to",,,"Thanks for connecting, Wayne. You might have seen an email from me recently. My team at Qualtrics helps nearby cities like Riverside, Corona, and Ontario (and others) use data to improve resident and employee experiences. We recently spoke with Laura James with Beaumont development. For econ dev specifically, we can help directors gather and leverage operational and experience data from community business partners and residents. My director, Chandler, will be in Riverside County in late September. Would you be open to a brief preliminary call next week to see if it would be valuable for him to connect while he's in town?",,Government (SLG),Ximena
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Revenue Agency | Eric - CA county govs, tax system modernization (kcttc)",,,"Hi Eric, I'm Grayson with Qualtrics. We currently partner with County Governments in CA, including San Bernardino, Shasta, Sacramento, and Alameda. We also support Santa Clara Tax and Collections. The kcttc website mentions a departmental focus on tax system modernization, process improvement, and automation. I wanted to reach out because this is exactly how we serve Government Revenue Agencies. Our solution centralizes and gathers all case information and taxpayer/employee feedback from all in-person and digital channels. A few outcomes we've seen: improved taxpayer/employee experience, increased operational efficiency, and optimized customer support to reduce inbound calls and address roadblocks before they become large issues. Open to seeing our approach?",,Government (SLG),Grayson Hoffman
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Event - ICMA Conference | Lisa - booth, Amazon/Disney resident experience",,,"Hi Lisa, I wanted to see if you plan on attending the ICMA Annual conference October 25th-29th. There are a lot of great looking sessions and Qualtrics will have a booth to receive potential partners and talk about how we provide value to State and Local Government agencies with the power of our Experience Management solutions. More than ever before, your residents are expecting Amazon-like delivery for services and Disney-like customer service. It is absolutely possible for local government organizations to deliver excellent customer experience! Are you planning on attending? We would love to see you there and schedule a 15-20 min conversation. Best,",,Government (SLG),Unknown
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Veteran Panel | Solomon - WA state, NASDVA, suicide prevention",,,"Hi Solomon, My name is Brett, I'm a part of the account team for Qualtrics that covers the state of Washington. I saw you met with some team members of mine at NASDVA last week, and I wanted to reach out. We've learned that a lot of state agencies struggle to maintain a solid contact list of local veterans, and that it can be difficult to get help from the federal government with this, making it harder to track health, wellness, and support suicide prevention. Qualtrics helps you solve this by turning every interaction into an opportunity to connect. By using simple opt-in tools, you can build your own Veteran Panel, a secure contact list and engaged community for ongoing relational research, all in one. We currently work with the Army on their holistic health and wellness program as well. Any interest in setting aside some time to go over how we can help? Best, Brett Ravitz",,Government (SLG),Brett Ravitz
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Law Enforcement | Hollie - NM gov, BCSO staffing (KOAT), human experience data",,,"Hi Hollie, I'm Grayson with the Qualtrics NM government team. Right now we're partnering with state & local organizations such as the Department of Health, State Police, DFA, Veteran Services, State Parks, Dona Ana County, and others, to continuously engage constituents & employees and drive measurable improvements. The recent KOAT article noted BCSO has achieved full staffing levels with plans to expand beyond 350 deputies. We help high growth Law Enforcement Agencies like BCSO gather and leverage human experience data to enable real-time engagement and feedback between front line deputies and command staff. We are currently in discussions with NM State Corrections about this, and I thought you might benefit from a similar conversation. Open to a 20 minute chat in the coming days? Thanks, Grayson",,Government (SLG),Grayson Hoffman
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Veteran Panel - Persistence + Personal | Rex - NASDVA, family service story",,,"Hi Rex, You've probably seen an email or two from me over the past few days, so I wanted to reach out. I saw you met with some team members of mine at NASDVA last week, hopefully Qualtrics is fresh in the mind still. We've learned that a lot of state agencies struggle to maintain a solid contact list of local veterans, and that it can be difficult to get help from the federal government with this, making it harder to track health, wellness, and support suicide prevention. Improving the veteran experience is near to me, as I've had multiple family members serve who have had very differing experiences getting support after their tours of duty. I'd love the chance to meet with you and show how we can support your department improve Veteran lives in Oregon. Any interest in a chat?",,Government (SLG),Brett Ravitz
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),"MQC | Tracey - content viewer, SLG services intro",,,"Hi Tracey, Just gave you a call. I saw that you checked out some of our content, I'm part of the State and Local Government services team and wanted to introduce myself as an available resource for you. I'd love to set up some time to make introductions, better understand your interest, and speak to Qualtrics in that context. Do you have 20 minutes this week or next? Can't wait to meet! Ivanna",,Government (SLG),Ivanna
15 - Source Email (categorized winner),F4 Trigger Strike (Intent/Signal),MQC - Free Account | Terri - SLG services intro,,,"Hi Terri, I saw that you created a free account, that's great! I'm part of the State and Local Government services team and wanted to introduce myself as an available resource for you. I'd love to set up some time to make introductions, better understand your interest, and speak to Qualtrics in that context. Do you have 20 minutes next week?",,Government (SLG),Ivanna
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"Corrections | FL Corrections leader - FDC 24,000 officers, retention",,,"I'm Grayson with Qualtrics for Government. We currently partner with the Florida Department of Corrections, enabling them to continuously engage over 24,000 corrections officers and detention staff to drive measurable improvements. We also support FL county governments including Pasco, Duval, Miami-Dade, Collier, and Hillsborough. Given the FDC Command Staff's success using Qualtrics, I thought you may want to hear insights on how they boost retention, training effectiveness, staff efficacy, and other key metrics. Open to a 20 min call next week to see our approach? Feel free to reply with a time and I can send a calendar invite. Best, Grayson",,Government (SLG),Grayson Hoffman
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Tribal Gaming - Regulatory Signal | Mike - Grand Portage, MN gaming enforcement,",,,"Mike - I'm guessing your schedule is stacked and you've already set your 2026 guest and workforce priorities, so I'll keep this quick. Minnesota just made a major regulatory move - the AG issued cease-and-desist letters to 14 unlicensed online gambling platforms. It's a clear signal the state is tightening enforcement around the tribal-state compact model. This could create competitive advantages in tourism and hospitality: more room to differentiate on guest experience and workforce; guest expectations will shift, analytics becomes the edge; tighter regs = higher need for workforce readiness. Between Minnesota's crackdown and Grand Portage's own 2025 moves (TERO adoption, infrastructure development, tribal-state aid uncertainty, workforce readiness emphasis), there's a real moment for strategic workforce and guest insight leadership. All of this lines up with the AI + workforce/guest insights conversation we started following IGA, which is why you came to mind. Would you be opposed to taking a very quick look at what other properties are doing, so when the timing is right you'll have the full picture? Happy to flex around whatever's easiest for you.",,Government (SLG),Unknown
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),"WIG Alignment | Denise - CO Dept of Labor (CDLE), Governor's WIGs, FAMLI",,,"Hi Denise, I am reaching out to see if you would like to learn how Qualtrics can help the Colorado Department of Labor and Employment (CDLE) achieve two of the Governor's WIGs: enhancing Employee Experience and enhancing FAMLI/Connecting Colorado. Qualtrics is trusted by over 650 state and local government organizations (including multiple across Colorado) and can provide real-time insights: Employee Experience - continuous listening programs (EmployeeXM) to identify and address friction across your 1,700-person workforce; Customer Experience - embed feedback tools directly into FAMLI and Connecting Colorado to capture Voice of the Customer instantly. Qualtrics helps you take automated, strategic action through human-centered designs and agile feedback. Would you be available for a brief 15-minute call next week to discuss how we can help you accelerate progress toward these key performance plan targets? Best, Ivanna",,Government (SLG),Ivanna
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite Pre-visit | Nicholas - county director visit, resident digital experience",,,"Hi Nicholas, As we get closer to my director's visit to your county, I'm reaching out to see if you're in search of solutions to: measure the resident's digital experience to create the optimal experience; employee listening programs to impact engagement and attrition; securely measure experiences; conduct and deploy human centered research projects. All on a consolidated, secure, government tailored platform. Would you be available for a quick in person chat with my Director while she is in town November 4th or 5th? Looking forward to hearing from you, Ivanna",,Government (SLG),Ivanna
15 - Source Email (categorized winner),F2 Reconnect / New POC,"Public Health | Emily - MDH, outbreak reporting, health equity",,,"Emily - here are a few bullets that might help contextualize Qualtrics for MDH: community needs assessments and satisfaction surveys (health equity solutions); advanced tracking and analysis through role-based dashboards; outbreak reporting modules and illness tracing (food-borne illness, STI intake, naloxone usage, etc); automating online forms and digital processes (this is how we serve ORHPC). Does any of this resonate? We recently spoke with the MN health equity division, and I think a similar conversation with you could be mutually beneficial. Please let me know! Brett Ravitz",,Government (SLG),Brett Ravitz
15 - Source Email (categorized winner),F5 Borrowed Trust (Referral/On-site),"Onsite - Transit | Simon - SamTrans/BART/Muni, director in the bay",,,"Hi Simon, Great to connect! As Judson and Kamini may have mentioned, my director will be in the bay later this week meeting with our partners at SamTrans. We currently help SamTrans and BART streamline how they collect and act on feedback from riders and employees. I actually had my sister (a daily Muni rider) send me photos of your current feedback touchpoints so I could see how you're currently approaching it. I'd love to show you how we're evolving those types of programs for other Bay Area agencies. Do you have 15 minutes this Wednesday or Thursday for my director to stop by? Thank you Judson and Kamini for letting me take up temporary residence in your inbox for the past few weeks as well. Best, Brett",,Government (SLG),Brett Ravitz
15 - Source Email (categorized winner),F3 Role + Peer Proof (Cold),VA - Funding Signal | Gina - Arkansas State $9M Beck Center for Veterans (replie,,,"Hi Gina, I just saw how $9 million in federal funding was secured for the new healthcare simulation facility at Arkansas State. It's a massive win for the Beck Center for Veterans and a testament to Arkansas' leadership in rural Veteran health. As part of the VA, you're tasked with ensuring these broader expansions, from health access to VSO district support, actually meet Veteran needs. Qualtrics helps your department capture real-time feedback across every touchpoint, ensuring that as you scale services, you're also improving the ease of access to benefits and state resources. Do you have 15 minutes next Tuesday for a brief chat on how we can support Arkansas veterans? Best, Mike [Bump] Hey Gina, I wanted to make sure you saw my previous message. Do you have any questions?",,Government (SLG),Mike
